pipeline_id,run_id,timestamp,ci_tool,repository,branch,commit_hash,author,language,os,cloud_provider,build_duration_sec,test_duration_sec,deploy_duration_sec,failure_stage,failure_type,error_code,error_message,severity,cpu_usage_pct,memory_usage_mb,retry_count,is_flaky_test,rollback_triggered,incident_created
pipe_7293,run_16,2025-12-22T11:09:16.927259,GitLab CI,repo_459,feature-x,f8e876b3508da634d48f24a9b374a285bc506c20,user_230,Go,macos-latest,AWS,2557,1146,147,test,Security Scan Failure,ERR_332,ERROR: kPTmv0P9CGSKH2r5tJI6Y5UH19dNa8gTXzIkgyupVW8fmLO6Sr80W5zWKJA9yun6yacxGXv9 ARDR9i20aWAB9VacxzqnJVEjqqLJgwTCvJ0Y Ci3JzeckBe,LOW,90.23,13166,1,False,True,True
pipe_6376,run_17,2025-10-17T11:09:16.927259,Jenkins,repo_9,feature-x,368959833b83ecc1b8a12273fb219b1b77bcde24,user_963,Go,windows-latest,AWS,2231,1300,1664,test,Dependency Error,ERR_322,ERROR: D0mlrH2io1l2NO2 xfoaWCTDj3vmrjHzgahEvPObaexgbh8xpBgOfq6mrZORrR79aKKXYjezyPLe4plUnMSzDa1cAhBpADHqXPpgUHyOLL7ehWuqgKvh96SF,MEDIUM,62.31,1156,1,False,False,True
billing-service,run_18,2025-12-04T13:25:16.927259,GitHub Actions,repo_206,feature-x,18f29a3e68e0cb3f0879309f95bee21b7cf32954,user_254,Python,ubuntu-latest,GCP,732,1770,647,build,Timeout,ERR_640,ERROR: Rt5oZMZghpQdKDDvcXLX89VDKTNa4aE 5lwstGg7sG3qj7o7TkNP5hLd 3mA0LnGMOo9ISzTLtoRYdwWfemfQzPOH9YfkRKek4IIHDwMmmHgGzbj yRfRJnc,LOW,40.51,508,3,False,True,True
pipe_2797,run_19,2025-08-19T09:18:16.927259,CircleCI,repo_444,main,51079b23085d3694b66a401ef8c7d7b9bf25d9fa,user_263,Go,ubuntu-latest,Azure,291,1470,192,deploy,Dependency Error,ERR_128,ERROR: BhwNPfDE09s9hZ8r8bG0adHbHcXSzXudoWvc2MKgXuTYsJuULQ98uL5J3SzFHttwK17nTnsap7mWfkj3Pcsm2S9ehwFqXco7XTaCWublkZ 8l ZMIqf6rXnC,MEDIUM,86.47,12149,2,False,False,True
billing-service,run_20,2025-11-17T18:32:16.927259,CircleCI,repo_484,release,55f9db0b6cfaae88b35a5ed53f65ca1a8cb4cf06,user_974,NodeJS,macos-latest,On-Prem,2599,1275,669,build,Build Failure,ERR_335,ERROR: tTZHC2Pqbcn23Rh6lN7nLAsstPKQJDY5NaUAVgdMQIIlYjGTPhXb0e5ykjAqX41f2qLSnpcPr7bi9FmsKUzMGtsfnbYx2ytIivOELTOVxmc0FEWMON73whU1,LOW,80.32,29752,4,True,False,True
pipe_9789,run_21,2025-09-21T16:41:16.927259,GitLab CI,repo_135,feature-x,6ff9531a33a3afaa66d9a4ce037d70334c484cdc,user_967,C++,windows-latest,On-Prem,1323,560,639,test,Deployment Failure,ERR_181,ERROR: lzKIqBasV3FjEHa4weh81e1DDzvBmfUvZtUSvkQOzvwzFcnqpo9njed0KCxtj wTkR7CSXgoGx6ivJgs5uavvDHdrZBqLktwTQrVYL8eixOhz3jOMan1Y8kg,MEDIUM,27.21,26372,5,True,False,False
pipe_2304,run_22,2025-09-29T02:25:16.927259,Jenkins,repo_486,release,df6d8684ae40b328550ae453d09bf1339e45ee8c,user_500,Rust,macos-latest,AWS,1833,2318,1345,deploy,Dependency Error,ERR_414,ERROR: JhnpINXQC1jkE 48G13zvzBHs1 MXG1y38Bfup u7CskS7PczroDD0hbpf5JHU9XqRNBwjy2bmBXolDrWRex15QZvbnbLymE6gF jbfubvRLUzIjhlSCUYtm,HIGH,43.6,27627,0,True,False,False
billing-service,run_23,2025-10-18T21:08:16.927259,GitLab CI,repo_432,main,8ffc67c3b79645c86736d4df437999d556b10234,user_18,C++,macos-latest,Azure,1685,2209,306,build,Permission Error,ERR_637,ERROR: ONr5yJR5OIfaimCLU53T1yOU1Af9w8xGsuvzQIYvAWliHuY8zontRLlyGRriyXz43IKAKMMrpitFwZCM3k3vU9s3JoqrjoFV81PP5 j5kl5IQUNMK1W3OgQb,MEDIUM,68.5,28776,1,True,False,True
pipe_5665,run_24,2025-11-20T18:37:16.927259,GitLab CI,repo_388,feature-x,3a8e287172423551a243a3abee3667b1c753a04d,user_315,Rust,ubuntu-latest,On-Prem,678,106,784,build,Resource Exhaustion,ERR_379,ERROR: xkOwXc2OIRYkyADXdAhbULl07rJGR2MjQGAjKzjhAq7UtZB8e1HHEbsLB2thLgHAUSdmpBT3lqpowbHdPJubCc4OUQnmX13DakZk4owh2jvFAveqmG5HW8Uf,CRITICAL,83.67,17638,2,True,True,False
pipe_3546,run_25,2025-12-29T08:36:16.927259,GitHub Actions,repo_213,feature-x,1bca5575ee410e3076b4415883a9dbda8d371809,user_596,Java,ubuntu-latest,AWS,243,1476,1164,deploy,Configuration Error,ERR_921,ERROR: 3oXuE4e2vemnSWN0mEfSemekutlO5hPyWNEA8xPkupCI a1egpOuZdXABQm6qGBgEZuo8cwEEFFva12MzboG2v8fOgUB7MpHLPYTWRJO1waDlZEcYtM8MZfz,MEDIUM,40.96,19288,5,False,True,True
billing-service,run_26,2026-01-08T17:49:16.927259,GitHub Actions,repo_332,release,a65cb09dfa32b0754a8ec4c9828707cc3bf4602f,user_788,Java,ubuntu-latest,AWS,2349,1681,1558,test,Deployment Failure,ERR_159,ERROR: rxu6Z4PnmZvsRTqPd7YLM7w2DmeIvD3m5AY5VezXAzidS Z1Prnqa 76jSEDjcRTx9BwzDfFB21TAlN 27cHCAn6MqqS3JeG0uhoDCKRKz8tlE3ZCoTsihhH,MEDIUM,54.88,8518,4,False,True,False
pipe_1167,run_27,2025-11-23T21:54:16.927259,CircleCI,repo_407,feature-x,2c9e67a23cf4c436b99638c5381b47b9c2819e60,user_796,Python,macos-latest,Azure,2367,744,1357,build,Resource Exhaustion,ERR_455,ERROR: kv24s8JVpjvTMYQ6LwpVoJfZ0B6ACjVPhmijrUUZD3hwBlcTCfddNHwz2DCZO4zl9iPtgsoXZ3yREWQroupw30R3BmtkIgb HsrJV6TRdU5gGWj7OsKneR32,HIGH,78.95,9467,2,True,True,True
pipe_2850,run_28,2025-10-20T14:51:16.927259,CircleCI,repo_182,release,783eeac5c36feb640e1a441d044315c2bb91b217,user_666,Rust,macos-latest,Azure,1105,2362,1381,deploy,Security Scan Failure,ERR_222,ERROR: DKhfaRisj89rpjCjQjgQ6WQ2QsDxaZ4q9xaHpuuL bObsUiJfrkjfVfGSYDb8MmJY16OfRCfPbebxAxiIualOyaLSdoHL3hjjU 4SEYRAp85SWd9xUYjswud,MEDIUM,32.28,13935,2,False,False,False
billing-service,run_29,2025-10-29T19:39:16.927259,GitLab CI,repo_80,release,9ea818f273fe72237a570bee6b072b79b5794ef2,user_161,Go,ubuntu-latest,On-Prem,3414,661,371,build,Resource Exhaustion,ERR_413,ERROR: NogI4tBSgUTh6Sg85SXyDaroJVe3kmpKTEP3VEGwXF2wpOoHnxW8De1ENfU5VusAAq2gS94BCnbpSaa1O2bJ8F1ypNykjDcXWpVCkroI5CWCGRnFVHzNBuHG,LOW,64.15,12218,0,True,False,True
pipe_2637,run_30,2025-12-13T18:01:16.927259,GitHub Actions,repo_116,feature-x,f32ffedbf734ba92406df3125ecfc1de18658319,user_916,Python,macos-latest,AWS,3585,604,646,deploy,Test Failure,ERR_547,ERROR: jmW9mF0rzUUUWl4a tCh52mbdZrsFWyW6bJAVJaC SrfXHAu2YBwOJKKVGbdwkJwF9Y3thBh3AR0tJXDtVBScE4MigGCqzQlQAxayHfzzE6exmtObo3k7E9Z,MEDIUM,71.51,22620,0,True,True,False
pipe_5460,run_31,2025-12-06T22:00:16.927259,CircleCI,repo_25,release,abde95acd4edad1132aa0332d565b3a0aa7eba9f,user_793,NodeJS,windows-latest,AWS,497,637,281,test,Security Scan Failure,ERR_859,ERROR: WIT2gOM5BX8ZBHn9YVs8h1uacLOp7i5eOTKFWLwqCWTJraLMHEmQFzv0ilU0ngMxSEKpg5pKZsVRm3h3gpcIAqou7ByOH5bpqzaEHQ9HnkJAcDWu55HETUZO,HIGH,85.0,13649,1,False,False,False
billing-service,run_32,2025-12-06T03:59:16.927259,GitHub Actions,repo_403,feature-x,c98944257b50cd1d45b9a87df1719a19a6f73acd,user_766,NodeJS,macos-latest,GCP,1328,2183,671,test,Permission Error,ERR_357,ERROR: 2ICiXrZUZN4ZDW3ll9YDzbDiXX13tJfHTFh4xAsR3VPymKv7LJ4Ja1Nf86A7VpoP3o5h92rhyZiPU4twq8iWyzmn6ShXnl2o9w4I4fQjaRYP9sG1mB2tl8DQ,MEDIUM,91.99,9578,3,True,True,False
pipe_3652,run_33,2025-12-12T21:44:16.927259,CircleCI,repo_73,main,384c91ab64b76bae117931d7465b9b2911edc986,user_423,Go,ubuntu-latest,AWS,535,1787,474,test,Build Failure,ERR_114,ERROR: 69QRsSFKbWTpKUeLatiepG3saX47CH6pAiLgRDnyMsPXcB4JuAmTjM280R8j4JbqcSMGAu4yBIMrB6dAHMIYw1Q6FRRoA4caoWA0bQ3yEhxOq8BpOacu4nED,LOW,31.39,8926,1,True,False,True
pipe_8529,run_34,2026-01-12T18:48:16.927259,Azure DevOps,repo_357,feature-x,3369a739a515b1b291bc56b46c2a381f86f81e58,user_688,NodeJS,windows-latest,Azure,445,69,1515,deploy,Deployment Failure,ERR_705,ERROR: UKCmolbkLQkmLhN4B3T5Ph5epzeg8o5EvYyJBAQeUcSeIH5uzlcwn4ZPE1EeKnzuDBNIBnS3qstIULAebDuoWHeUkLAnaLTqBshNTS5DdABQmh4BZbsJfdnd,CRITICAL,70.28,29891,4,False,False,True
billing-service,run_35,2026-01-02T03:01:16.927259,GitHub Actions,repo_4,release,51ac6b2f4fa7449848a927363108745e182f52f1,user_891,NodeJS,ubuntu-latest,On-Prem,2565,191,1488,test,Timeout,ERR_582,ERROR: lzL2sye6u1BouK1853Hgr2snxGyAU4IuGUUU8LhEIjpXWB0WKSIdSXDQ0vfCiYE6cNTtMGEfWttesPRAr xmiaoQL0PNcCulqhWWx0sondrbGQcnnOt h9qc,CRITICAL,59.17,24817,5,False,True,True
pipe_8411,run_36,2025-12-02T20:22:16.927259,GitLab CI,repo_458,develop,556eb2173c241714281a97852e8bfcbaaafc8d21,user_574,C++,macos-latest,GCP,2492,1108,1364,test,Build Failure,ERR_304,ERROR: lFsmM1vbXaOTUImIXsIlt0z1hUNjLeFdOG4OvN0KtcJYL9uDeJaDH4gt3BSIunh1VswAWGLJEYFRoiZ1AlCgvAMgsimBDvGaqhS9DMntlpVh5YLccE9YglZg,LOW,73.83,23700,1,False,True,True
pipe_5713,run_37,2026-01-08T21:54:16.927259,GitHub Actions,repo_107,main,6fb6ada8410bb158dbce886557b7c3e38c30d3fd,user_651,Java,windows-latest,GCP,470,1752,406,deploy,Permission Error,ERR_415,ERROR: 8HvEt RrUCpWouqfzCReNmYDtKEHrM2Jz7V8ixM QdLotQ3cyp8jQgjL7tvtemswWoZyho02NKgjJHg9F3XBmPSFDgzhrivilS3PDbUPLwk4oaWtk1TlltzC,MEDIUM,83.45,12749,1,False,False,False
billing-service,run_38,2025-11-13T06:20:16.927259,GitHub Actions,repo_448,release,1616df9386e89a00bd9c27399bf4cf2c3bbe13d9,user_17,NodeJS,ubuntu-latest,On-Prem,2182,1320,1320,test,Network Error,ERR_499,ERROR: 9CQc05 eIEtvPAE8uKbWMVqGl4EdIzGCt8SLKzLxYggMPpFB1frAY6 64KOd98chQlnGZFbsOByccFPUNbAmY1p40dUWmFVXHSJBukRCKaJe5Re4Z3283BMC,MEDIUM,30.9,8205,4,True,False,True
pipe_1202,run_39,2025-11-22T02:55:16.927259,Azure DevOps,repo_115,release,ba6c4e6aee42bec207450bfe05f56117c2814b92,user_11,Java,windows-latest,On-Prem,1320,421,1324,test,Security Scan Failure,ERR_522,ERROR: xrtvhe 39AkWsgbEttYHBG4gaZA3R6iekLdA4YOOa9MVq7jIHnW Jid8d0NC8gm2LCiDHlRPiG43DFwAWKqoZ FjrQAi2akNGuA96nvW3fj8y0j eK51fp66,MEDIUM,94.19,27227,1,False,True,True
pipe_7376,run_40,2025-12-02T02:59:16.927259,Jenkins,repo_359,release,5eb14be98fa55a22758fa50ed362fb162c54a1ce,user_474,Rust,ubuntu-latest,Azure,1187,2132,39,test,Timeout,ERR_308,ERROR: ryWAUSX M8iyZ6c8xJJIJ1fwjYbpBmXXubQyqjHoOTesyXPwrBJIDJvOImW76zel12au9bmmWekoKVcEvihRkPiz23H0hHvWn16lcOd2am8uTvad0ZRf 6fF,LOW,23.58,4123,0,True,False,True
pipe_3249,run_41,2025-11-14T00:13:16.927259,GitLab CI,repo_316,feature-x,fa711d3950d1b4340589219a016be909b81dea14,user_655,Java,ubuntu-latest,AWS,722,1251,1364,deploy,Network Error,ERR_856,ERROR: 0Q yg9yR95Q94ek73H8KlFSE1EfjMUsmNhngCVlrsX1aqeM4ywef 252VMJQsOMp1QONlZjZk1t7CI2jDE6Olef6hFieVMhDGuye8PgYIcAnJPLPPH9yeDGx,CRITICAL,36.93,18552,5,True,False,False
billing-service,run_42,2025-09-23T12:52:16.927259,GitLab CI,repo_46,release,4799fe63e4aa4342766241951360e0913b5fa576,user_557,Java,ubuntu-latest,AWS,2259,1423,1746,test,Dependency Error,ERR_379,ERROR: Hdt9s11d6imipbKIkOOcRwvW8XB1Xdp7ruAeHzbpIrVKB13mchEF6MWlgVGo4f4TSHSsolalwrrBkCY OrdSdmtC43Mz5wREAvteJ8Zl9hwLHVmSWggDK3lm,HIGH,81.77,19000,3,True,False,False
pipe_1586,run_43,2025-08-31T11:48:16.927259,Azure DevOps,repo_116,develop,dbf58f8d4a630b648a789e893af5d68398ca0b43,user_327,NodeJS,ubuntu-latest,AWS,2760,1437,28,build,Timeout,ERR_643,ERROR: OIM79HPNTgoSLZd1hi dtWyT2HahFE7PKTgL56WUf9KNkjcumD6x50sbm0rsp9EXqguFlfVGXLZ1g6S5pVoU2FZhaIwgnA4TMdKqLobKjlgInS6VrGIjMcwE,MEDIUM,46.56,25793,4,False,True,False
